챕터,스테이지,55% 적정투력,75% 적정투력,100% 적정투력,120% 적정투력
137,137-27,85M 565K,114M 87K,142M 608K,171M 130K
137,137-28,85M 596K,114M 128K,142M 659K,171M 191K
137,137-29,85M 626K,114M 168K,142M 710K,171M 252K
137,137-30,85M 657K,114M 209K,142M 762K,171M 314K
138,138-1,85M 688K,114M 250K,142M 813K,171M 375K
138,138-2,85M 719K,114M 291K,142M 864K,171M 437K
138,138-3,85M 749K,114M 332K,142M 915K,171M 498K
138,138-4,85M 780K,114M 373K,142M 966K,171M 559K
138,138-5,85M 810K,114M 413K,143M 16K,171M 619K
138,138-6,85M 840K,114M 453K,143M 66K,171M 679K
138,138-7,85M 870K,114M 493K,143M 116K,171M 740K
138,138-8,85M 900K,114M 533K,143M 166K,171M 800K
138,138-9,85M 930K,114M 573K,143M 216K,171M 860K
138,138-10,85M 960K,114M 613K,143M 267K,171M 920K
138,138-11,85M 990K,114M 653K,143M 317K,171M 980K
138,138-12,86M 20K,114M 694K,143M 367K,172M 40K
138,138-13,86M 50K,114M 734K,143M 417K,172M 100K
138,138-14,86M 80K,114M 774K,143M 467K,172M 160K
138,138-15,86M 111K,114M 814K,143M 517K,172M 221K
138,138-16,86M 141K,114M 854K,143M 567K,172M 281K
138,138-17,86M 171K,114M 894K,143M 618K,172M 341K
138,138-18,86M 201K,114M 934K,143M 668K,172M 401K
138,138-19,86M 231K,114M 975K,143M 718K,172M 462K
138,138-20,86M 261K,115M 15K,143M 768K,172M 522K
138,138-21,86M 291K,115M 55K,143M 819K,172M 582K
138,138-22,86M 322K,115M 95K,143M 869K,172M 643K
138,138-23,86M 352K,115M 136K,143M 919K,172M 703K
138,138-24,86M 382K,115M 176K,143M 970K,172M 763K
138,138-25,86M 412K,115M 216K,144M 20K,172M 824K
138,138-26,86M 442K,115M 256K,144M 70K,172M 884K
138,138-27,86M 473K,115M 297K,144M 121K,172M 945K
138,138-28,86M 503K,115M 337K,144M 171K,173M 5K
138,138-29,86M 533K,115M 377K,144M 222K,173M 66K
138,138-30,86M 563K,115M 418K,144M 272K,173M 126K
139,139-1,86M 594K,115M 458K,144M 322K,173M 187K
139,139-2,86M 624K,115M 498K,144M 373K,173M 247K
139,139-3,86M 654K,115M 539K,144M 423K,173M 308K
139,139-4,86M 685K,115M 579K,144M 474K,173M 369K
139,139-5,86M 715K,115M 620K,144M 524K,173M 429K
139,139-6,86M 745K,115M 660K,144M 575K,173M 490K
139,139-7,86M 775K,115M 700K,144M 625K,173M 550K
139,139-8,86M 806K,115M 741K,144M 676K,173M 611K
139,139-9,86M 836K,115M 781K,144M 727K,173M 672K
139,139-10,86M 867K,115M 822K,144M 777K,173M 733K
139,139-11,86M 897K,115M 862K,144M 828K,173M 793K
139,139-12,86M 927K,115M 903K,144M 879K,173M 854K
139,139-13,86M 958K,115M 943K,144M 929K,173M 915K
139,139-14,86M 988K,115M 984K,144M 980K,173M 976K
139,139-15,87M 19K,116M 25K,145M 31K,174M 37K
139,139-16,87M 49K,116M 65K,145M 81K,174M 97K
139,139-17,87M 79K,116M 106K,145M 132K,174M 158K
139,139-18,87M 110K,116M 146K,145M 183K,174M 219K
139,139-19,87M 140K,116M 187K,145M 234K,174M 280K
139,139-20,87M 171K,116M 228K,145M 284K,174M 341K
139,139-21,87M 201K,116M 268K,145M 335K,174M 402K
139,139-22,87M 232K,116M 309K,145M 386K,174M 463K
139,139-23,87M 262K,116M 350K,145M 437K,174M 524K
139,139-24,87M 293K,116M 390K,145M 488K,174M 585K
139,139-25,87M 323K,116M 431K,145M 539K,174M 646K
139,139-26,87M 354K,116M 472K,145M 589K,174M 707K
139,139-27,87M 384K,116M 512K,145M 640K,174M 768K
139,139-28,87M 415K,116M 553K,145M 691K,174M 829K
139,139-29,87M 446K,116M 594K,145M 742K,174M 891K
139,139-30,87M 476K,116M 635K,145M 793K,174M 952K
140,140-1,87M 507K,116M 675K,145M 844K,175M 13K
140,140-2,87M 537K,116M 716K,145M 895K,175M 74K
140,140-3,87M 568K,116M 757K,145M 946K,175M 135K
140,140-4,87M 599K,116M 798K,145M 997K,175M 197K
140,140-5,87M 629K,116M 839K,146M 48K,175M 258K
140,140-6,87M 660K,116M 880K,146M 99K,175M 319K
140,140-7,87M 691K,116M 921K,146M 151K,175M 381K
140,140-8,87M 721K,116M 961K,146M 202K,175M 442K
140,140-9,87M 752K,117M 2K,146M 253K,175M 503K
140,140-10,87M 783K,117M 43K,146M 304K,175M 565K
140,140-11,87M 813K,117M 84K,146M 355K,175M 626K
140,140-12,87M 844K,117M 125K,146M 406K,175M 687K
140,140-13,87M 875K,117M 166K,146M 457K,175M 749K
140,140-14,87M 905K,117M 207K,146M 509K,175M 810K
140,140-15,87M 936K,117M 248K,146M 560K,175M 872K
140,140-16,87M 967K,117M 289K,146M 611K,175M 933K
140,140-17,87M 998K,117M 330K,146M 662K,175M 995K
140,140-18,88M 28K,117M 371K,146M 714K,176M 56K
140,140-19,88M 59K,117M 412K,146M 765K,176M 118K
140,140-20,88M 90K,117M 453K,146M 816K,176M 180K
140,140-21,88M 121K,117M 494K,146M 868K,176M 241K
140,140-22,88M 152K,117M 535K,146M 919K,176M 303K
140,140-23,88M 182K,117M 576K,146M 970K,176M 364K
140,140-24,88M 213K,117M 618K,147M 22K,176M 426K
140,140-25,88M 244K,117M 659K,147M 73K,176M 488K
140,140-26,88M 275K,117M 700K,147M 125K,176M 550K
140,140-27,88M 306K,117M 741K,147M 176K,176M 611K
140,140-28,88M 337K,117M 782K,147M 228K,176M 673K
140,140-29,88M 368K,117M 823K,147M 279K,176M 735K
140,140-30,88M 399K,117M 865K,147M 331K,176M 797K
141,141-1,88M 429K,117M 906K,147M 382K,176M 858K
141,141-2,88M 460K,117M 947K,147M 434K,176M 920K
141,141-3,88M 491K,117M 988K,147M 485K,176M 982K
141,141-4,88M 522K,118M 30K,147M 537K,177M 44K
141,141-5,88M 553K,118M 71K,147M 588K,177M 106K
141,141-6,88M 584K,118M 112K,147M 640K,177M 168K
141,141-7,88M 615K,118M 153K,147M 692K,177M 230K
141,141-8,88M 646K,118M 195K,147M 743K,177M 292K
141,141-9,88M 677K,118M 236K,147M 795K,177M 354K
141,141-10,88M 708K,118M 277K,147M 847K,177M 416K
141,141-11,88M 739K,118M 319K,147M 898K,177M 478K
141,141-12,88M 770K,118M 360K,147M 950K,177M 540K
141,141-13,88M 801K,118M 402K,148M 2K,177M 602K
141,141-14,88M 832K,118M 443K,148M 54K,177M 664K
141,141-15,88M 863K,118M 484K,148M 105K,177M 726K
141,141-16,88M 894K,118M 526K,148M 157K,177M 788K
141,141-17,88M 926K,118M 567K,148M 209K,177M 851K
141,141-18,88M 957K,118M 609K,148M 261K,177M 913K
141,141-19,88M 988K,118M 650K,148M 313K,177M 975K
141,141-20,89M 19K,118M 692K,148M 364K,178M 37K
141,141-21,89M 50K,118M 733K,148M 416K,178M 100K
141,141-22,89M 81K,118M 775K,148M 468K,178M 162K
141,141-23,89M 112K,118M 816K,148M 520K,178M 224K
141,141-24,89M 143K,118M 858K,148M 572K,178M 286K
141,141-25,89M 175K,118M 899K,148M 624K,178M 349K
141,141-26,89M 206K,118M 941K,148M 676K,178M 411K
141,141-27,89M 237K,118M 983K,148M 728K,178M 474K
141,141-28,89M 268K,119M 24K,148M 780K,178M 536K
141,141-29,89M 299K,119M 66K,148M 832K,178M 598K
141,141-30,89M 331K,119M 107K,148M 884K,178M 661K
142,142-1,89M 362K,119M 149K,148M 936K,178M 723K
142,142-2,89M 393K,119M 191K,148M 988K,178M 786K
142,142-3,89M 424K,119M 232K,149M 40K,178M 848K
142,142-4,89M 456K,119M 274K,149M 93K,178M 911K
142,142-5,89M 487K,119M 316K,149M 145K,178M 974K
142,142-6,89M 518K,119M 358K,149M 197K,179M 36K
142,142-7,89M 550K,119M 399K,149M 249K,179M 99K
142,142-8,89M 581K,119M 441K,149M 301K,179M 161K
142,142-9,89M 612K,119M 483K,149M 353K,179M 224K
142,142-10,89M 644K,119M 525K,149M 406K,179M 287K
142,142-11,89M 675K,119M 566K,149M 458K,179M 349K
142,142-12,89M 706K,119M 608K,149M 510K,179M 412K
142,142-13,89M 738K,119M 650K,149M 562K,179M 475K
142,142-14,89M 769K,119M 692K,149M 615K,179M 538K
142,142-15,89M 800K,119M 734K,149M 667K,179M 600K
142,142-16,89M 832K,119M 776K,149M 719K,179M 663K
142,142-17,89M 863K,119M 818K,149M 772K,179M 726K
142,142-18,89M 895K,119M 859K,149M 824K,179M 789K
142,142-19,89M 926K,119M 901K,149M 877K,179M 852K
142,142-20,89M 958K,119M 943K,149M 929K,179M 915K
142,142-21,89M 989K,119M 985K,149M 981K,179M 978K
142,142-22,90M 20K,120M 27K,150M 34K,180M 40K
142,142-23,90M 52K,120M 69K,150M 86K,180M 103K
142,142-24,90M 83K,120M 111K,150M 139K,180M 166K
142,142-25,90M 115K,120M 153K,150M 191K,180M 229K
142,142-26,90M 146K,120M 195K,150M 244K,180M 292K
142,142-27,90M 178K,120M 237K,150M 296K,180M 356K
142,142-28,90M 210K,120M 279K,150M 349K,180M 419K
142,142-29,90M 241K,120M 321K,150M 401K,180M 482K
142,142-30,90M 273K,120M 363K,150M 454K,180M 545K
143,143-1,90M 304K,120M 405K,150M 507K,180M 608K
143,143-2,90M 336K,120M 448K,150M 559K,180M 671K
143,143-3,90M 367K,120M 490K,150M 612K,180M 734K
143,143-4,90M 399K,120M 532K,150M 665K,180M 798K
143,143-5,90M 431K,120M 574K,150M 717K,180M 861K
143,143-6,90M 462K,120M 616K,150M 770K,180M 924K
143,143-7,90M 494K,120M 658K,150M 823K,180M 987K
143,143-8,90M 526K,120M 701K,150M 876K,181M 51K
143,143-9,90M 557K,120M 743K,150M 928K,181M 114K
143,143-10,90M 589K,120M 785K,150M 981K,181M 177K
143,143-11,90M 621K,120M 827K,151M 34K,181M 241K
143,143-12,90M 652K,120M 869K,151M 87K,181M 304K
143,143-13,90M 684K,120M 912K,151M 140K,181M 367K
143,143-14,90M 716K,120M 954K,151M 192K,181M 431K
143,143-15,90M 747K,120M 996K,151M 245K,181M 494K
143,143-16,90M 779K,121M 39K,151M 298K,181M 558K
143,143-17,90M 811K,121M 81K,151M 351K,181M 621K
143,143-18,90M 843K,121M 123K,151M 404K,181M 685K
143,143-19,90M 874K,121M 166K,151M 457K,181M 748K
143,143-20,90M 906K,121M 208K,151M 510K,181M 812K
143,143-21,90M 938K,121M 250K,151M 563K,181M 875K
143,143-22,90M 970K,121M 293K,151M 616K,181M 939K
143,143-23,91M 2K,121M 335K,151M 669K,182M 3K
143,143-24,91M 33K,121M 378K,151M 722K,182M 66K
143,143-25,91M 65K,121M 420K,151M 775K,182M 130K
143,143-26,91M 97K,121M 463K,151M 828K,182M 194K
143,143-27,91M 129K,121M 505K,151M 881K,182M 257K
143,143-28,91M 161K,121M 548K,151M 934K,182M 321K
143,143-29,91M 193K,121M 590K,151M 987K,182M 385K
143,143-30,91M 225K,121M 633K,152M 41K,182M 449K
144,144-1,91M 256K,121M 675K,152M 94K,182M 512K
144,144-2,91M 288K,121M 718K,152M 147K,182M 576K
144,144-3,91M 320K,121M 760K,152M 200K,182M 640K
144,144-4,91M 352K,121M 803K,152M 253K,182M 704K
144,144-5,91M 384K,121M 845K,152M 307K,182M 768K
144,144-6,91M 416K,121M 888K,152M 360K,182M 832K
144,144-7,91M 448K,121M 931K,152M 413K,182M 896K
144,144-8,91M 480K,121M 973K,152M 466K,182M 960K
144,144-9,91M 512K,122M 16K,152M 520K,183M 24K
144,144-10,91M 544K,122M 59K,152M 573K,183M 88K
144,144-11,91M 576K,122M 101K,152M 626K,183M 152K
144,144-12,91M 608K,122M 144K,152M 680K,183M 216K
144,144-13,91M 640K,122M 187K,152M 733K,183M 280K
144,144-14,91M 672K,122M 229K,152M 787K,183M 344K
144,144-15,91M 704K,122M 272K,152M 840K,183M 408K
144,144-16,91M 736K,122M 315K,152M 894K,183M 472K
144,144-17,91M 768K,122M 358K,152M 947K,183M 536K
144,144-18,91M 801K,122M 401K,153M 1K,183M 601K
144,144-19,91M 833K,122M 443K,153M 54K,183M 665K
144,144-20,91M 865K,122M 486K,153M 108K,183M 729K
144,144-21,91M 897K,122M 529K,153M 161K,183M 793K
144,144-22,91M 929K,122M 572K,153M 215K,183M 857K
144,144-23,91M 961K,122M 615K,153M 268K,183M 922K
144,144-24,91M 993K,122M 658K,153M 322K,183M 986K
144,144-25,92M 25K,122M 700K,153M 375K,184M 50K
144,144-26,92M 58K,122M 743K,153M 429K,184M 115K
144,144-27,92M 90K,122M 786K,153M 483K,184M 179K
144,144-28,92M 122K,122M 829K,153M 536K,184M 244K
144,144-29,92M 154K,122M 872K,153M 590K,184M 308K
144,144-30,92M 186K,122M 915K,153M 644K,184M 372K
145,145-1,92M 219K,122M 958K,153M 698K,184M 437K
145,145-2,92M 251K,123M 1K,153M 751K,184M 501K
145,145-3,92M 283K,123M 44K,153M 805K,184M 566K
145,145-4,92M 316K,123M 87K,153M 859K,184M 631K
145,145-5,92M 348K,123M 130K,153M 913K,184M 695K
145,145-6,92M 380K,123M 173K,153M 966K,184M 760K
145,145-7,92M 412K,123M 216K,154M 20K,184M 824K
145,145-8,92M 445K,123M 259K,154M 74K,184M 889K
145,145-9,92M 477K,123M 303K,154M 128K,184M 954K
145,145-10,92M 509K,123M 346K,154M 182K,185M 18K
145,145-11,92M 542K,123M 389K,154M 236K,185M 83K
145,145-12,92M 574K,123M 432K,154M 290K,185M 148K
145,145-13,92M 606K,123M 475K,154M 344K,185M 212K
145,145-14,92M 639K,123M 518K,154M 398K,185M 277K
145,145-15,92M 671K,123M 562K,154M 452K,185M 342K
145,145-16,92M 704K,123M 605K,154M 506K,185M 407K
145,145-17,92M 736K,123M 648K,154M 560K,185M 472K
145,145-18,92M 769K,123M 691K,154M 614K,185M 537K
145,145-19,92M 801K,123M 734K,154M 668K,185M 601K
145,145-20,92M 833K,123M 778K,154M 722K,185M 666K
145,145-21,92M 866K,123M 821K,154M 776K,185M 731K
145,145-22,92M 898K,123M 864K,154M 830K,185M 796K
145,145-23,92M 931K,123M 908K,154M 884K,185M 861K
145,145-24,92M 963K,123M 951K,154M 939K,185M 926K
145,145-25,92M 996K,123M 994K,154M 993K,185M 991K
145,145-26,93M 28K,124M 38K,155M 47K,186M 56K
145,145-27,93M 61K,124M 81K,155M 101K,186M 121K
145,145-28,93M 93K,124M 124K,155M 155K,186M 186K
145,145-29,93M 126K,124M 168K,155M 210K,186M 252K
145,145-30,93M 159K,124M 211K,155M 264K,186M 317K
146,146-1,93M 191K,124M 255K,155M 318K,186M 382K
146,146-2,93M 224K,124M 298K,155M 373K,186M 447K
146,146-3,93M 256K,124M 342K,155M 427K,186M 512K
146,146-4,93M 289K,124M 385K,155M 481K,186M 577K
146,146-5,93M 322K,124M 429K,155M 536K,186M 643K
146,146-6,93M 354K,124M 472K,155M 590K,186M 708K
146,146-7,93M 387K,124M 516K,155M 644K,186M 773K
146,146-8,93M 420K,124M 559K,155M 699K,186M 839K
146,146-9,93M 452K,124M 603K,155M 753K,186M 904K
146,146-10,93M 485K,124M 646K,155M 808K,186M 969K
146,146-11,93M 518K,124M 690K,155M 862K,187M 35K
146,146-12,93M 550K,124M 734K,155M 917K,187M 100K
146,146-13,93M 583K,124M 777K,155M 971K,187M 166K
146,146-14,93M 616K,124M 821K,156M 26K,187M 231K
146,146-15,93M 648K,124M 864K,156M 80K,187M 296K
146,146-16,93M 681K,124M 908K,156M 135K,187M 362K
146,146-17,93M 714K,124M 952K,156M 190K,187M 427K
146,146-18,93M 747K,124M 996K,156M 244K,187M 493K
146,146-19,93M 780K,125M 39K,156M 299K,187M 559K
146,146-20,93M 812K,125M 83K,156M 354K,187M 624K
146,146-21,93M 845K,125M 127K,156M 408K,187M 690K
146,146-22,93M 878K,125M 170K,156M 463K,187M 755K
146,146-23,93M 911K,125M 214K,156M 518K,187M 821K
146,146-24,93M 944K,125M 258K,156M 572K,187M 887K
146,146-25,93M 976K,125M 302K,156M 627K,187M 952K
146,146-26,94M 9K,125M 346K,156M 682K,188M 18K
146,146-27,94M 42K,125M 389K,156M 737K,188M 84K
146,146-28,94M 75K,125M 433K,156M 792K,188M 150K
146,146-29,94M 108K,125M 477K,156M 846K,188M 216K
146,146-30,94M 141K,125M 521K,156M 901K,188M 281K
147,147-1,94M 174K,125M 565K,156M 956K,188M 347K
147,147-2,94M 207K,125M 609K,157M 11K,188M 413K
147,147-3,94M 240K,125M 653K,157M 66K,188M 479K
147,147-4,94M 273K,125M 697K,157M 121K,188M 545K
147,147-5,94M 306K,125M 741K,157M 176K,188M 611K
147,147-6,94M 339K,125M 785K,157M 231K,188M 677K
147,147-7,94M 372K,125M 829K,157M 286K,188M 743K
147,147-8,94M 405K,125M 873K,157M 341K,188M 809K
147,147-9,94M 438K,125M 917K,157M 396K,188M 875K
147,147-10,94M 471K,125M 961K,157M 451K,188M 941K
147,147-11,94M 504K,126M 5K,157M 506K,189M 7K
147,147-12,94M 537K,126M 49K,157M 561K,189M 73K
147,147-13,94M 570K,126M 93K,157M 616K,189M 139K
147,147-14,94M 603K,126M 137K,157M 671K,189M 205K
147,147-15,94M 636K,126M 181K,157M 726K,189M 271K
147,147-16,94M 669K,126M 225K,157M 781K,189M 338K
147,147-17,94M 702K,126M 269K,157M 837K,189M 404K
147,147-18,94M 735K,126M 314K,157M 892K,189M 470K
147,147-19,94M 768K,126M 358K,157M 947K,189M 536K
147,147-20,94M 802K,126M 402K,158M 2K,189M 603K
147,147-21,94M 835K,126M 446K,158M 58K,189M 669K
147,147-22,94M 868K,126M 490K,158M 113K,189M 735K
147,147-23,94M 901K,126M 535K,158M 168K,189M 802K
147,147-24,94M 934K,126M 579K,158M 223K,189M 868K
147,147-25,94M 967K,126M 623K,158M 279K,189M 934K
147,147-26,95M 1K,126M 667K,158M 334K,190M 1K
147,147-27,95M 34K,126M 712K,158M 389K,190M 67K
147,147-28,95M 67K,126M 756K,158M 445K,190M 134K
147,147-29,95M 100K,126M 800K,158M 500K,190M 200K
147,147-30,95M 134K,126M 845K,158M 556K,190M 267K
148,148-1,95M 167K,126M 889K,158M 611K,190M 333K
148,148-2,95M 200K,126M 933K,158M 667K,190M 400K
148,148-3,95M 233K,126M 978K,158M 722K,190M 466K
148,148-4,95M 267K,127M 22K,158M 778K,190M 533K
148,148-5,95M 300K,127M 67K,158M 833K,190M 600K
148,148-6,95M 333K,127M 111K,158M 889K,190M 666K
148,148-7,95M 367K,127M 155K,158M 944K,190M 733K
148,148-8,95M 400K,127M 200K,159M,190M 800K
148,148-9,95M 433K,127M 244K,159M 55K,190M 866K
148,148-10,95M 467K,127M 289K,159M 111K,190M 933K
148,148-11,95M 500K,127M 333K,159M 167K,191M
148,148-12,95M 534K,127M 378K,159M 222K,191M 67K
148,148-13,95M 567K,127M 423K,159M 278K,191M 134K
148,148-14,95M 600K,127M 467K,159M 334K,191M 200K
148,148-15,95M 634K,127M 512K,159M 389K,191M 267K
148,148-16,95M 667K,127M 556K,159M 445K,191M 334K
148,148-17,95M 701K,127M 601K,159M 501K,191M 401K
148,148-18,95M 734K,127M 645K,159M 557K,191M 468K
148,148-19,95M 768K,127M 690K,159M 613K,191M 535K
148,148-20,95M 801K,127M 735K,159M 668K,191M 602K
148,148-21,95M 835K,127M 779K,159M 724K,191M 669K
148,148-22,95M 868K,127M 824K,159M 780K,191M 736K
148,148-23,95M 902K,127M 869K,159M 836K,191M 803K
148,148-24,95M 935K,127M 914K,159M 892K,191M 870K
148,148-25,95M 969K,127M 958K,159M 948K,191M 937K
148,148-26,96M 2K,128M 3K,160M 4K,192M 4K
148,148-27,96M 36K,128M 48K,160M 60K,192M 71K
148,148-28,96M 70K,128M 93K,160M 116K,192M 139K
148,148-29,96M 103K,128M 137K,160M 172K,192M 206K
148,148-30,96M 137K,128M 182K,160M 228K,192M 273K
149,149-1,96M 170K,128M 227K,160M 284K,192M 340K
149,149-2,96M 204K,128M 272K,160M 340K,192M 408K
149,149-3,96M 238K,128M 317K,160M 396K,192M 475K
149,149-4,96M 271K,128M 362K,160M 452K,192M 542K
149,149-5,96M 305K,128M 406K,160M 508K,192M 609K
149,149-6,96M 339K,128M 451K,160M 564K,192M 677K
149,149-7,96M 372K,128M 496K,160M 620K,192M 744K
149,149-8,96M 406K,128M 541K,160M 676K,192M 812K
149,149-9,96M 440K,128M 586K,160M 733K,192M 879K
149,149-10,96M 473K,128M 631K,160M 789K,192M 946K
149,149-11,96M 507K,128M 676K,160M 845K,193M 14K
149,149-12,96M 541K,128M 721K,160M 901K,193M 81K
149,149-13,96M 575K,128M 766K,160M 958K,193M 149K
149,149-14,96M 609K,128M 811K,161M 14K,193M 217K
149,149-15,96M 642K,128M 856K,161M 70K,193M 284K
149,149-16,96M 676K,128M 901K,161M 127K,193M 352K
149,149-17,96M 710K,128M 946K,161M 183K,193M 419K
149,149-18,96M 744K,128M 991K,161M 239K,193M 487K
149,149-19,96M 778K,129M 37K,161M 296K,193M 555K
149,149-20,96M 811K,129M 82K,161M 352K,193M 622K
149,149-21,96M 845K,129M 127K,161M 408K,193M 690K
149,149-22,96M 879K,129M 172K,161M 465K,193M 758K
149,149-23,96M 913K,129M 217K,161M 521K,193M 826K
149,149-24,96M 947K,129M 262K,161M 578K,193M 893K
149,149-25,96M 981K,129M 308K,161M 634K,193M 961K
149,149-26,97M 15K,129M 353K,161M 691K,194M 29K
149,149-27,97M 49K,129M 398K,161M 747K,194M 97K
149,149-28,97M 83K,129M 443K,161M 804K,194M 165K
149,149-29,97M 117K,129M 489K,161M 861K,194M 233K
149,149-30,97M 151K,129M 534K,161M 917K,194M 301K
150,150-1,97M 184K,129M 579K,161M 974K,194M 368K
150,150-2,97M 218K,129M 624K,162M 30K,194M 436K
150,150-3,97M 252K,129M 670K,162M 87K,194M 504K
150,150-4,97M 286K,129M 715K,162M 144K,194M 572K
150,150-5,97M 320K,129M 760K,162M 200K,194M 640K
150,150-6,97M 355K,129M 806K,162M 257K,194M 709K
150,150-7,97M 389K,129M 851K,162M 314K,194M 777K
150,150-8,97M 423K,129M 897K,162M 371K,194M 845K
150,150-9,97M 457K,129M 942K,162M 428K,194M 913K
150,150-10,97M 491K,129M 988K,162M 484K,194M 981K
150,150-11,97M 525K,130M 33K,162M 541K,195M 49K
150,150-12,97M 559K,130M 78K,162M 598K,195M 117K
150,150-13,97M 593K,130M 124K,162M 655K,195M 186K
150,150-14,97M 627K,130M 169K,162M 712K,195M 254K
150,150-15,97M 661K,130M 215K,162M 769K,195M 322K
150,150-16,97M 696K,130M 261K,162M 826K,195M 391K
150,150-17,97M 730K,130M 306K,162M 882K,195M 459K
150,150-18,97M 764K,130M 352K,162M 939K,195M 527K
150,150-19,97M 798K,130M 397K,162M 996K,195M 596K
150,150-20,97M 832K,130M 443K,163M 53K,195M 664K
150,150-21,97M 866K,130M 488K,163M 110K,195M 732K
150,150-22,97M 901K,130M 534K,163M 167K,195M 801K
150,150-23,97M 935K,130M 580K,163M 225K,195M 869K
150,150-24,97M 969K,130M 625K,163M 282K,195M 938K
150,150-25,98M 3K,130M 671K,163M 339K,196M 6K
150,150-26,98M 38K,130M 717K,163M 396K,196M 75K
150,150-27,98M 72K,130M 762K,163M 453K,196M 143K
150,150-28,98M 106K,130M 808K,163M 510K,196M 212K
150,150-29,98M 141K,130M 854K,163M 567K,196M 281K
150,150-30,98M 175K,130M 900K,163M 625K,196M 349K
151,151-1,98M 209K,130M 946K,163M 682K,196M 418K
151,151-2,98M 244K,130M 991K,163M 739K,196M 487K
151,151-3,98M 278K,131M 37K,163M 796K,196M 555K
151,151-4,98M 312K,131M 83K,163M 854K,196M 624K
151,151-5,98M 347K,131M 129K,163M 911K,196M 693K
151,151-6,98M 381K,131M 175K,163M 968K,196M 762K
151,151-7,98M 415K,131M 220K,164M 25K,196M 830K
151,151-8,98M 450K,131M 266K,164M 83K,196M 899K
151,151-9,98M 484K,131M 312K,164M 140K,196M 968K
151,151-10,98M 519K,131M 358K,164M 197K,197M 37K
151,151-11,98M 553K,131M 404K,164M 255K,197M 105K
151,151-12,98M 587K,131M 450K,164M 312K,197M 174K
151,151-13,98M 622K,131M 496K,164M 369K,197M 243K
151,151-14,98M 656K,131M 541K,164M 427K,197M 312K
151,151-15,98M 691K,131M 587K,164M 484K,197M 381K
151,151-16,98M 725K,131M 633K,164M 542K,197M 450K
151,151-17,98M 760K,131M 679K,164M 599K,197M 519K
151,151-18,98M 794K,131M 725K,164M 657K,197M 588K
151,151-19,98M 829K,131M 771K,164M 714K,197M 657K
151,151-20,98M 863K,131M 817K,164M 772K,197M 726K
151,151-21,98M 898K,131M 863K,164M 829K,197M 795K
151,151-22,98M 932K,131M 909K,164M 887K,197M 864K
151,151-23,98M 967K,131M 956K,164M 944K,197M 933K
151,151-24,99M 1K,132M 2K,165M 2K,198M 2K
151,151-25,99M 36K,132M 48K,165M 60K,198M 71K
151,151-26,99M 71K,132M 94K,165M 117K,198M 141K
151,151-27,99M 105K,132M 140K,165M 175K,198M 210K
151,151-28,99M 140K,132M 186K,165M 233K,198M 279K
151,151-29,99M 174K,132M 232K,165M 290K,198M 348K
151,151-30,99M 209K,132M 278K,165M 348K,198M 417K
152,152-1,99M 244K,132M 325K,165M 406K,198M 487K
152,152-2,99M 278K,132M 371K,165M 463K,198M 556K
152,152-3,99M 313K,132M 417K,165M 521K,198M 625K
152,152-4,99M 348K,132M 463K,165M 579K,198M 695K
152,152-5,99M 382K,132M 510K,165M 637K,198M 764K
152,152-6,99M 417K,132M 556K,165M 695K,198M 834K
152,152-7,99M 452K,132M 602K,165M 753K,198M 903K
152,152-8,99M 487K,132M 649K,165M 811K,198M 973K
152,152-9,99M 521K,132M 695K,165M 869K,199M 42K
152,152-10,99M 556K,132M 742K,165M 927K,199M 112K
152,152-11,99M 591K,132M 788K,165M 985K,199M 182K
152,152-12,99M 626K,132M 834K,166M 43K,199M 251K
152,152-13,99M 661K,132M 881K,166M 101K,199M 321K
152,152-14,99M 696K,132M 927K,166M 159K,199M 391K
152,152-15,99M 731K,132M 974K,166M 217K,199M 461K
152,152-16,99M 765K,133M 20K,166M 275K,199M 530K
152,152-17,99M 800K,133M 67K,166M 333K,199M 600K
152,152-18,99M 835K,133M 113K,166M 392K,199M 670K
152,152-19,99M 870K,133M 160K,166M 450K,199M 740K
152,152-20,99M 905K,133M 207K,166M 508K,199M 810K
152,152-21,99M 940K,133M 253K,166M 566K,199M 879K
152,152-22,99M 975K,133M 300K,166M 624K,199M 949K
152,152-23,100M 10K,133M 346K,166M 683K,200M 19K
152,152-24,100M 45K,133M 393K,166M 741K,200M 89K
152,152-25,100M 80K,133M 440K,166M 799K,200M 159K
152,152-26,100M 115K,133M 486K,166M 858K,200M 229K
152,152-27,100M 150K,133M 533K,166M 916K,200M 299K
152,152-28,100M 185K,133M 580K,166M 974K,200M 369K
152,152-29,100M 220K,133M 626K,167M 33K,200M 439K
152,152-30,100M 255K,133M 673K,167M 91K,200M 509K
153,153-1,100M 290K,133M 720K,167M 150K,200M 579K
153,153-2,100M 325K,133M 767K,167M 208K,200M 650K
153,153-3,100M 360K,133M 813K,167M 267K,200M 720K
153,153-4,100M 395K,133M 860K,167M 325K,200M 790K
153,153-5,100M 430K,133M 907K,167M 384K,200M 860K
153,153-6,100M 465K,133M 954K,167M 442K,200M 930K
153,153-7,100M 501K,134M 1K,167M 501K,201M 1K
153,153-8,100M 536K,134M 48K,167M 559K,201M 71K
153,153-9,100M 571K,134M 94K,167M 618K,201M 141K
153,153-10,100M 606K,134M 141K,167M 676K,201M 212K
153,153-11,100M 641K,134M 188K,167M 735K,201M 282K
